#nodeId VoltageV totalTxS totalRxS totalStandbyS totalSleepS txCurrentA rxCurrentA standbyCurrentA sleepCurrentA txConsumedEnergy rxConsumedEnergy standbyConsumedEnergy sleepConsumedEnergy totalConsumedEnergy initialEnergyJ remainingEnergyJ SF 
154 3.7 1.31891 0 0.02 1801.99 0.0435 0.0112 0.0014 1.5e-06 0.212279 0 0.0001036 0.010001 0.222384 5.5 5.26765 12 
155 3.7 1.31891 0 0.02 1801.99 0.0435 0.0112 0.0014 1.5e-06 0.212279 0 0.0001036 0.010001 0.222384 5.5 5.26765 12 
156 3.7 0.185344 0 0.02 1801.99 0.0435 0.0112 0.0014 1.5e-06 0.0298311 0 0.0001036 0.010001 0.0399358 5.5 5.45009 9 
157 3.7 1.31891 0 0.02 1801.99 0.0435 0.0112 0.0014 1.5e-06 0.212279 0 0.0001036 0.010001 0.222384 5.5 5.26765 12 
158 3.7 0.051456 0 0.02 1801.99 0.0435 0.0112 0.0014 1.5e-06 0.00828184 0 0.0001036 0.010001 0.0183865 5.5 5.47164 7 
159 3.7 1.31891 0 0.02 1801.99 0.0435 0.0112 0.0014 1.5e-06 0.212279 0 0.0001036 0.010001 0.222384 5.5 5.26765 12 
160 3.7 0.185344 0 0.02 1801.99 0.0435 0.0112 0.0014 1.5e-06 0.0298311 0 0.0001036 0.010001 0.0399358 5.5 5.45009 9 
161 3.7 0.051456 0 0.02 1801.99 0.0435 0.0112 0.0014 1.5e-06 0.00828184 0 0.0001036 0.010001 0.0183865 5.5 5.47164 7 
162 3.7 1.31891 0 0.02 1801.99 0.0435 0.0112 0.0014 1.5e-06 0.212279 0 0.0001036 0.010001 0.222384 5.5 5.26765 12 
163 3.7 1.31891 0 0.02 1801.99 0.0435 0.0112 0.0014 1.5e-06 0.212279 0 0.0001036 0.010001 0.222384 5.5 5.26765 12 
